Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
13707,LU0297943168,01/04/2023,01/04/2024,490,124,YES
13704,LU0006061385,01/04/2023,01/04/2024,490,124,YES
13706,LU0297942863,01/04/2023,01/04/2024,490,124,YES
13763,LU0172412149,01/04/2023,01/04/2024,490,124,YES
13710,LU0093504206,01/04/2023,01/04/2024,490,124,YES
13708,LU0171284937,01/04/2023,01/04/2024,490,124,YES
13764,LU0172401969,01/04/2023,01/04/2024,490,124,YES
13711,LU0172401704,01/04/2023,01/04/2024,490,124,YES
20461,LU0011850046,01/04/2023,01/04/2024,490,124,YES
33496,LU0171285314,01/04/2023,01/04/2022,490,855,YES
737490,LU2655523079,01/09/2023,01/04/2024,337,124,YES
737491,LU2655523152,01/09/2023,01/04/2024,337,124,YES
45141,LU0784384876,01/09/2023,01/04/2024,337,124,YES
42929,LU0784385840,01/09/2023,01/04/2024,337,124,YES
45530,LU0871640123,01/09/2023,01/04/2024,337,124,YES
45638,LU0949170343,01/09/2023,01/04/2024,337,124,YES
41935,LU0784385170,01/09/2023,01/04/2024,337,124,YES
12111,LU0054578231,01/04/2023,01/04/2024,490,124,YES
27478,LU0248271941,01/04/2022,01/04/2022,855,855,NO
33498,LU0248272758,01/04/2022,01/04/2024,855,124,YES
13718,LU0255399239,01/04/2023,01/04/2024,490,124,YES
13770,LU0212924517,01/04/2023,01/04/2024,490,124,YES
20705,LU0249410860,01/04/2023,01/04/2024,490,124,YES
20704,LU0249411835,01/04/2023,01/04/2024,490,124,YES
12115,LU0006061252,01/04/2023,01/04/2024,490,124,YES
29732,LU0171289068,01/04/2023,01/04/2024,490,124,YES
8941,N/A,01/04/2023,Date not found in the paragraph,490,N/A,YES
27277,N/A,01/04/2023,Date not found in the paragraph,490,N/A,YES
8911,LU0072463663,01/04/2023,01/04/2024,490,124,YES
13783,LU0471298694,01/04/2023,01/04/2024,490,124,YES
